date,district,place,temperature_c,rainfall_mm,humidity_percent,disease_cases,disaster_event,description
2020-07-19,Idukki,Munnar,22.5,185.3,98,6,Landslide,"Heavy monsoon rains in Munnar triggered a landslide, leading to several reported cases of injuries and displacement."
2020-08-11,Wayanad,Wayanad Sanctuary,23.1,162.1,97,4,Landslide,"Continuous downpour in the Wayanad Sanctuary area caused a landslide, affecting wildlife and local infrastructure."
2020-11-25,Thiruvananthapuram,Kovalam Beach,28.9,95.5,92,7,Cyclone,"A cyclone made landfall near Kovalam Beach, bringing strong winds and heavy rain, causing coastal damage."
2021-02-10,Palakkad,Silent Valley,33.5,0.0,59,1,Drought,"Lack of rainfall led to severe drought conditions in the Silent Valley region, impacting water sources."
2021-04-15,Thrissur,Athirappilly Waterfalls,36.1,3.5,76,3,Heatwave,"An intense heatwave was recorded at Athirappilly Waterfalls, with temperatures soaring and minimal rainfall."
2021-07-22,Alappuzha,Kuttanad,29.1,155.8,96,15,Flood,"Widespread flooding occurred in the low-lying Kuttanad area due to heavy monsoon rains, leading to a spike in waterborne diseases."
2021-10-18,Kottayam,Kumarakom,28.5,180.2,95,11,Flood,"Unprecedented rainfall caused flash floods in Kumarakom, affecting tourism and local communities."
2022-01-10,Kottayam,Illikkal Kallu,20.2,1.0,60,0,Cyclone,"The peripheries of a cyclone brought gusty winds to Illikkal Kallu, though with minimal rainfall."
2022-01-17,Kottayam,Vagamon,23.2,1.0,52,3,Heatwave,"Unseasonably high temperatures in the hill station of Vagamon were classified as a heatwave, causing discomfort."
2022-03-07,Kasaragod,Bekal Fort,24.8,3.6,52,2,Heatwave,"A spring heatwave affected the coastal area of Bekal Fort, with higher than average temperatures."
2022-03-07,Thiruvananthapuram,Neyyar Dam,24.1,0.1,47,0,Flood,"Minor overflow from Neyyar Dam due to a sudden, brief cloudburst resulted in localized flooding downstream."
2022-03-11,Ernakulam,Cherai Beach,26.1,1.8,49,1,Cyclone,The remnants of a cyclone system caused strong winds and high tides along Cherai Beach.
2022-03-29,Palakkad,Nelliyampathy Hills,27.2,0.6,50,3,Drought,Drought conditions worsened in Nelliyampathy Hills as the dry season continued with negligible rain.
2022-04-14,Kottayam,Illikkal Kallu,30.7,1.2,58,3,Flood,A localized flash flood was reported near Illikkal Kallu after a sudden summer shower in the hills.
2022-04-18,Palakkad,Nelliyampathy Hills,36.5,1.2,75,2,Heatwave,"Extreme heatwave conditions prevailed in Nelliyampathy Hills, posing a risk to local flora and fauna."
2022-04-21,Kottayam,Illikkal Kallu,29.0,0.0,62,2,Landslide,A minor landslide occurred at Illikkal Kallu due to soil erosion from previous dry conditions.
2022-07-07,Kottayam,Kumarakom,34.4,46.7,80,2,Flood,"Heavy rains caused the backwaters to rise, leading to flooding in parts of Kumarakom."
2022-07-16,Thrissur,Athirappilly Waterfalls,34.7,25.6,85,1,Landslide,A small landslide was reported on the access road to Athirappilly Waterfalls following moderate rainfall.
